id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,blocked_x,blocked_y,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Length,PassEndX,Zone,PassEndY,Angle,Longball,ThrowIn,Defensive,Foul,OppositeRelatedEvent,Offensive,FreekickTaken,HeadPass,Chipped,LeftFoot,Cross,Head,DirectFreekick,OutOfBoxCentre,GoalMouthY,GoalMouthZ,RightFoot,MissHigh,GoalKick,StandingSave,LayOff,MissLeft,MissRight,CornerTaken,PlayerCaughtOffside,IndirectFreekickTaken,KeeperThrow,IntentionalAssist,ShotAssist,KeyPass,BoxRight,FirstTouch,BlockedX,BlockedY,RelatedEventId,RegularPlay,Assisted,LowCentre,ParriedDanger,Hands,DivingSave,KeeperSaveInTheBox,BigChance,SmallBoxCentre,OverRun,Yellow,SetPiece,BoxCentre,Blocked,OutfielderBlock,Volley,HighLeft,BigChanceCreated,HighRight,Penalty,KeeperMissed,LowLeft,FromCorner,IndividualPlay,BoxLeft,PlayerPosition,JerseyNumber,FormationSlot,LowRight,LeadingToAttempt,Throughball,Feet,ParriedSafe,FastBreak,Collected,KeeperSaveObox
2886294115.0,26,2,24.0,495,53.6,87.7,2,"[91, 119, 117, 30, 36, 37, 216, 218]",True,362434.0,59.7,95.8,,,,,,,,,,FirstHalf,Pass,Successful,8.4,59.7,Left,95.8,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294123.0,27,2,26.0,495,56.4,95.1,2,"[91, 117, 30, 35, 38, 216, 218]",True,437387.0,39.6,88.6,,,,,,,,,,FirstHalf,Pass,Successful,18.2,39.6,Back,88.6,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294129.0,28,2,30.0,495,38.1,85.0,2,"[91, 117, 127, 35, 38, 216, 218]",True,362434.0,37.5,37.8,,,,,,,,,,FirstHalf,Pass,Successful,32.1,37.5,Back,37.8,4.69,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294131.0,29,2,37.0,495,35.9,33.3,2,"[91, 117, 30, 35, 37, 216, 218]",True,328643.0,35.6,69.1,,,,,,,,,,FirstHalf,Pass,Successful,24.3,35.6,Back,69.1,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294133.0,30,2,39.0,495,38.5,70.3,2,"[91, 119, 117, 30, 36, 37, 216, 218]",True,362434.0,58.3,94.6,,,,,,,,,,FirstHalf,Pass,Successful,26.6,58.3,Left,94.6,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294135.0,31,2,41.0,495,59.5,94.9,2,"[91, 119, 117, 30, 35, 38, 216, 218]",True,437387.0,53.0,88.5,,,,,,,,,,FirstHalf,Pass,Successful,8.1,53.0,Left,88.5,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294139.0,32,2,44.0,495,51.2,84.9,2,"[91, 117, 30, 35, 38, 216, 218]",True,392361.0,38.7,66.0,,,,,,,,,,FirstHalf,Pass,Successful,18.4,38.7,Back,66.0,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294141.0,33,2,46.0,495,38.3,66.0,2,"[91, 118, 120, 29, 36, 38, 216, 218]",True,362434.0,39.4,63.6,,,,,,,,,,FirstHalf,Pass,Unsuccessful,2.0,39.4,Back,63.6,5.33,,,,,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294143.0,20,2,46.0,1469,60.6,36.4,2,"[91, 60]",True,431346.0,,,,,,,,,,,,FirstHalf,BlockedPass,Successful,,,Center,,,,,1.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886294145.0,21,2,49.0,1469,70.6,37.9,2,[93],False,431346.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
