id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,relatedEventId,relatedPlayerId,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Angle,PassEndY,Length,Zone,PassEndX,Longball,ThrowIn,Chipped,Foul,OppositeRelatedEvent,Offensive,Defensive,FreekickTaken,LayOff,StandingSave,MissLeft,ShotAssist,Cross,CornerTaken,RightFoot,IntentionalAssist,BigChanceCreated,KeyPass,FirstTouch,GoalMouthY,LowRight,SmallBoxRight,BigChance,BlockedY,BlockedX,Assisted,Head,RelatedEventId,GoalMouthZ,FromCorner,ParriedSafe,Hands,KeeperSaveInSixYard,KeeperSaveInTheBox,MissRight,LeftFoot,Blocked,BoxCentre,LowCentre,ThrowinSetPiece,OutfielderBlock,SetPiece,GoalKick,HeadPass,IndividualPlay,BoxLeft,RegularPlay,OverRun,PlayerCaughtOffside,IndirectFreekickTaken,Yellow,OneOnOne,LowLeft,FastBreak,BoxRight,Feet,KeeperThrow,OutOfBoxCentre,BlockedCross,MissHigh,DirectFreekick,OutOfBoxDeepLeft,Volley,HighRight,Collected,LeadingToAttempt,DeepBoxLeft,PlayerPosition,JerseyNumber,FormationSlot,HighLeft,DivingSave,LastMan,Penalty,KeeperSaved,AerialFoul,LeadingToGoal,HighCentre,SmallBoxCentre,SixYardBlock,SmallBoxLeft,HighClaim,OutOfBoxRight,KeeperSaveObox,ParriedDanger
2890851275.0,19,1,18.0,957,32.9,25.6,1,"[91, 117, 30, 35, 37, 215, 218]",True,447689.0,29.3,61.4,,,,,,,,,,FirstHalf,Pass,Successful,1.72,61.4,24.6,Back,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851299.0,20,1,25.0,957,34.8,67.0,1,"[91, 117, 30, 35, 38, 215, 218]",True,296319.0,32.7,50.4,,,,,,,,,,FirstHalf,Pass,Successful,4.52,50.4,11.5,Back,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851303.0,21,1,25.0,957,32.7,50.4,1,"[91, 117, 30, 36, 37, 216, 218]",True,80464.0,34.4,66.3,,,,,,,,,,FirstHalf,Pass,Successful,1.41,66.3,11.0,Back,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851345.0,22,1,27.0,957,34.4,67.2,1,"[91, 117, 30, 36, 37, 216, 218]",True,296319.0,45.0,94.7,,,,,,,,,,FirstHalf,Pass,Successful,1.03,94.7,21.8,Back,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851371.0,23,1,32.0,957,46.3,98.1,1,"[91, 117, 30, 35, 38, 215, 218]",True,479288.0,24.6,73.5,,,,,,,,,,FirstHalf,Pass,Successful,3.77,73.5,28.3,Back,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851405.0,24,1,36.0,957,24.2,73.5,1,"[91, 117, 30, 35, 38, 215, 218]",True,296319.0,13.1,42.1,,,,,,,,,,FirstHalf,Pass,Successful,4.21,42.1,24.3,Back,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851407.0,25,1,40.0,957,11.9,39.4,1,[91],True,321390.0,,,,,,,,,,,,FirstHalf,BallTouch,Successful,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851469.0,26,1,43.0,957,4.2,8.3,1,"[91, 120, 128, 36, 38, 217, 218]",True,467913.0,67.3,6.1,,,,,,,,,,FirstHalf,Pass,Unsuccessful,6.26,6.1,66.3,Right,67.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851485.0,14,1,49.0,495,39.6,92.2,1,[93],False,137512.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890851541.0,15,1,49.0,495,39.6,92.2,1,"[91, 117, 30, 36, 38, 216, 218]",True,137512.0,42.8,68.8,,,,,,,,,,FirstHalf,Pass,Successful,4.92,68.8,16.3,Back,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
