id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Zone,Angle,Length,PassEndY,PassEndX,Longball,ThrowIn,HeadPass,Chipped,Offensive,OppositeRelatedEvent,Defensive,LeadingToAttempt,OutOfBoxCentre,RegularPlay,BlockedY,BlockedX,Blocked,RightFoot,GoalMouthY,LowLeft,IndividualPlay,GoalMouthZ,OutfielderBlock,LayOff,Foul,FreekickTaken,StandingSave,ShotAssist,KeyPass,Assisted,BoxRight,RelatedEventId,MissLeft,LeftFoot,GoalKick,Cross,Head,OverRun,DivingSave,Hands,ParriedSafe,KeeperSaveObox,MissRight,CornerTaken,IntentionalAssist,BoxCentre,FirstTouch,SetPiece,BigChanceCreated,BigChance,LastMan,Yellow,DirectFreekick,MissHigh,BoxLeft,KeeperSaveInTheBox,AerialFoul,Volley,FastBreak,LowRight,KeeperThrow,HighClaim,HighRight,FromCorner,SmallBoxRight,LowCentre,PlayerPosition,JerseyNumber,FormationSlot,Throughball,KeeperMissed,Penalty,PenaltyShootoutConcededGK,KeeperSaved
2889528865.0,369,38,37,495,12.6,88.9,38,"[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,137512.0,56.4,63.7,,,,,,,,,,FirstHalf,Pass,Successful,Center,5.93,49.1,63.7,56.4,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528871.0,370,38,42,495,58.2,68.6,38,"[91, 70]",True,346110.0,,,,,,,,,,,,FirstHalf,Dispossessed,Successful,Center,,,,,,,,,1.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528887.0,297,38,42,977,41.8,31.4,38,"[91, 143]",True,396976.0,,,,,,,,,,,,FirstHalf,Tackle,Successful,Back,,,,,,,,,,370.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528913.0,298,38,43,977,35.6,26.8,38,"[91, 117, 30, 36, 37, 216, 218]",True,247815.0,43.1,35.4,,,,,,,,,,FirstHalf,Pass,Successful,Back,0.64,9.8,35.4,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889530939.0,325,38,44,977,42.6,32.1,38,[93],False,425338.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528921.0,299,38,45,977,42.8,35.0,38,"[91, 70]",True,425338.0,,,,,,,,,,,,FirstHalf,Dispossessed,Successful,Back,,,,,,,,,1.0,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528933.0,371,38,45,495,57.2,65.0,38,"[91, 143]",True,427283.0,,,,,,,,,,,,FirstHalf,Tackle,Successful,Center,,,,,,,,,,299.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528937.0,372,38,46,495,62.7,51.7,38,[93],False,346110.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889528977.0,373,38,47,495,64.5,48.9,38,"[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,346110.0,74.7,23.1,,,,,,,,,,FirstHalf,Pass,Successful,Center,5.26,20.6,23.1,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529033.0,374,38,50,495,80.7,23.8,38,"[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,317541.0,89.3,64.3,,,,,,,,,,FirstHalf,Pass,Successful,Center,1.25,29.0,64.3,89.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
