id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,relatedEventId,relatedPlayerId,card_type,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,is_goal,period_display_name,type_display_name,outcome_type_display_name,Angle,PassEndX,Length,PassEndY,Zone,Chipped,Longball,Offensive,OppositeRelatedEvent,Defensive,HeadPass,ThrowIn,Foul,FreekickTaken,GoalKick,Head,LayOff,KeeperThrow,Cross,RightFoot,MissLeft,MissRight,CornerTaken,StandingSave,LeftFoot,RelatedEventId,Yellow,MissHigh,IntentionalAssist,ShotAssist,KeyPass,BlockedX,SixYardBlock,Blocked,GoalMouthY,LowRight,BlockedY,FirstTouch,Assisted,SmallBoxRight,FromCorner,GoalMouthZ,OutfielderBlock,JerseyNumber,PlayerPosition,FormationSlot,BoxCentre,LowLeft,BigChanceCreated,SmallBoxCentre,BigChance,SetPiece,BlockedCross,BoxLeft,IndividualPlay,RegularPlay,LowCentre,ParriedDanger,DivingSave,Hands,KeeperSaveInSixYard,KeeperSaveInTheBox,PlayerCaughtOffside,IndirectFreekickTaken,OverRun,HighClaim,SmallBoxLeft,AerialFoul,OutOfBoxCentre,DirectFreekick,BoxRight
2888276563.0,16,1,9.0,863,60.3,89.2,1,"[91, 119, 117, 30, 36, 37, 216, 218]",True,335583.0,64.5,95.5,,,,,,,,,,FirstHalf,Pass,Successful,0.77,64.5,6.1,95.5,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276565.0,17,1,10.0,863,64.5,95.5,1,"[91, 120, 29, 124, 36, 38, 216, 218]",True,502951.0,66.4,94.9,,,,,,,,,,FirstHalf,Pass,Unsuccessful,6.08,66.4,2.0,94.9,Left,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276567.0,20,1,11.0,495,40.5,3.1,1,[91],True,317541.0,,,,,,,,,,,,FirstHalf,BallTouch,Successful,,,,,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276577.0,19,1,17.0,863,66.0,100.0,1,"[91, 212, 35, 38, 216]",True,502951.0,52.9,93.9,,,,,,,,,,FirstHalf,Pass,Successful,3.48,52.9,14.6,93.9,Left,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276579.0,20,1,19.0,863,51.4,92.8,1,"[91, 117, 30, 35, 38, 216, 218]",True,335583.0,36.1,63.3,,,,,,,,,,FirstHalf,Pass,Successful,4.04,36.1,25.7,63.3,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276593.0,21,1,25.0,863,36.3,52.8,1,"[91, 117, 30, 36, 38, 216, 218]",True,443793.0,41.0,18.6,,,,,,,,,,FirstHalf,Pass,Successful,4.92,41.0,23.8,18.6,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276609.0,22,1,28.0,863,46.7,16.0,1,"[91, 120, 124, 128, 36, 37, 217, 218]",True,463416.0,77.9,40.9,,,,,,,,,,FirstHalf,Pass,Unsuccessful,0.48,77.9,36.9,40.9,Center,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276603.0,22,1,32.0,495,24.6,62.4,1,"[91, 63]",True,137512.0,,,,,,,,,,,,FirstHalf,Foul,Successful,,,,,Back,,,,23.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276613.0,23,1,32.0,863,75.4,37.6,1,[64],False,550465.0,,,,,,,,,,,,FirstHalf,Foul,Unsuccessful,,,,,Center,,,1.0,22.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276655.0,24,1,54.0,495,13.8,42.3,1,"[91, 117, 30, 132, 36, 37, 215, 218]",True,136220.0,27.3,62.2,,,,,,,,,,FirstHalf,Pass,Successful,0.76,27.3,19.6,62.2,Back,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276657.0,25,1,55.0,495,29.5,62.2,1,"[91, 117, 30, 36, 38, 216, 218]",True,137512.0,35.8,24.7,,,,,,,,,,FirstHalf,Pass,Successful,4.97,35.8,26.3,24.7,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276661.0,26,1,56.0,495,35.8,24.7,1,"[91, 117, 30, 36, 38, 216, 218]",True,362434.0,39.2,3.9,,,,,,,,,,FirstHalf,Pass,Successful,4.96,39.2,14.6,3.9,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276663.0,27,1,58.0,495,35.3,12.9,1,"[91, 117, 127, 35, 37, 215, 218]",True,320834.0,25.8,57.9,,,,,,,,,,FirstHalf,Pass,Successful,1.89,25.8,32.2,57.9,Back,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276679.0,28,2,2.0,495,30.5,58.8,2,"[91, 117, 30, 36, 37, 216, 218]",True,137512.0,36.2,90.7,,,,,,,,,,FirstHalf,Pass,Successful,1.3,36.2,22.5,90.7,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276695.0,29,2,6.0,495,37.2,94.3,2,"[91, 120, 124, 128, 36, 38, 217, 218]",True,349932.0,100.0,94.2,,,,,,,,,,FirstHalf,Pass,Unsuccessful,6.28,100.0,67.2,94.2,Left,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276775.0,25,2,37.0,863,4.8,60.7,2,"[91, 117, 30, 35, 38, 215, 218]",True,443793.0,4.0,48.7,,,,,,,,,,FirstHalf,Pass,Successful,4.61,4.0,8.2,48.7,Back,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276791.0,26,2,40.0,863,4.0,48.7,2,"[91, 117, 30, 36, 37, 215, 218]",True,139110.0,13.6,77.8,,,,,,,,,,FirstHalf,Pass,Successful,1.1,13.6,22.2,77.8,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276795.0,27,2,54.0,863,25.2,64.9,2,"[91, 117, 30, 35, 38, 215, 218]",True,443793.0,24.7,46.9,,,,,,,,,,FirstHalf,Pass,Successful,4.67,24.7,12.3,46.9,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276799.0,28,2,55.0,863,24.5,48.3,2,"[91, 117, 30, 36, 37, 216, 218]",True,436048.0,38.8,58.8,,,,,,,,,,FirstHalf,Pass,Successful,0.44,38.8,16.6,58.8,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2888276805.0,29,2,58.0,863,30.8,60.6,2,"[91, 117, 30, 35, 37, 215, 218]",True,468190.0,27.3,81.1,,,,,,,,,,FirstHalf,Pass,Successful,1.83,27.3,14.4,81.1,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
